'True Positive Rate','False Positive Rate',Threshold
0.998941,0.47048,0
0.998941,0.468635,0
0.998941,0.46679,0
0.998941,0.464945,0
0.998941,0.4631,0
0.998941,0.461255,0
0.998941,0.457565,0
0.998941,0.453875,0
0.998941,0.450185,0
0.998941,0.446494,0
0.998941,0.444649,0
0.998941,0.442804,0
0.998941,0.440959,0
0.998941,0.437269,0
0.998941,0.435424,0
0.998941,0.431734,0
0.998941,0.429889,0
0.998941,0.428044,0
0.998941,0.426199,0
0.998941,0.422509,0
0.998941,0.420664,0
0.998941,0.416974,0
0.998941,0.415129,0
0.998941,0.413284,0
0.998941,0.411439,0
0.998941,0.409594,0
0.998941,0.407749,0.000001
0.998941,0.405904,0.000001
0.998941,0.402214,0.000001
0.998941,0.400369,0.000001
0.998941,0.396679,0.000001
0.998941,0.394834,0.000001
0.998941,0.392989,0.000001
0.998941,0.391144,0.000001
0.998941,0.387454,0.000001
0.998941,0.385609,0.000001
0.998941,0.381919,0.000001
0.998941,0.380074,0.000001
0.998941,0.378229,0.000002
0.998941,0.376384,0.000002
0.998941,0.374539,0.000002
0.998941,0.372694,0.000002
0.998941,0.369004,0.000002
0.998941,0.367159,0.000002
0.998941,0.365314,0.000002
0.996822,0.365314,0.000002
0.996822,0.363469,0.000003
0.996822,0.361624,0.000003
0.996822,0.359779,0.000004
0.996822,0.357934,0.000004
0.995763,0.357934,0.000004
0.995763,0.356089,0.000004
0.995763,0.354244,0.000004
0.995763,0.352399,0.000005
0.995763,0.350554,0.000006
0.995763,0.348708,0.000007
0.995763,0.346863,0.000007
0.995763,0.345018,0.000007
0.995763,0.343173,0.000007
0.995763,0.341328,0.000008
0.995763,0.339483,0.00001
0.995763,0.337638,0.00001
0.995763,0.335793,0.00001
0.995763,0.333948,0.000012
0.995763,0.332103,0.000012
0.995763,0.330258,0.000013
0.995763,0.328413,0.000014
0.994703,0.328413,0.000019
0.993644,0.328413,0.00002
0.993644,0.326568,0.000022
0.993644,0.324723,0.000025
0.993644,0.322878,0.000025
0.993644,0.321033,0.000029
0.993644,0.319188,0.000029
0.993644,0.315498,0.000033
0.993644,0.313653,0.000033
0.993644,0.311808,0.000036
0.993644,0.309963,0.00004
0.993644,0.308118,0.00005
0.992585,0.308118,0.000059
0.992585,0.304428,0.000064
0.992585,0.302583,0.00007
0.992585,0.300738,0.000071
0.992585,0.297048,0.000077
0.992585,0.295203,0.000119
0.992585,0.293358,0.000132
0.992585,0.291513,0.000153
0.992585,0.289668,0.000167
0.992585,0.287823,0.000191
0.992585,0.285978,0.000227
0.992585,0.284133,0.000235
0.990466,0.284133,0.000282
0.990466,0.282288,0.000319
0.989407,0.282288,0.000371
0.989407,0.280443,0.000372
0.989407,0.278598,0.000397
0.989407,0.274908,0.000526
0.989407,0.273063,0.00072
0.989407,0.269373,0.000742
0.989407,0.265683,0.000806
0.989407,0.263838,0.00083
0.989407,0.260148,0.001041
0.989407,0.258303,0.001133
0.989407,0.256458,0.001182
0.989407,0.254613,0.00129
0.989407,0.252768,0.001324
0.989407,0.250923,0.001567
0.989407,0.247232,0.001778
0.989407,0.245387,0.001944
0.989407,0.241697,0.002155
0.988347,0.241697,0.002216
0.987288,0.241697,0.003585
0.987288,0.238007,0.003829
0.987288,0.234317,0.00386
0.987288,0.232472,0.003864
0.987288,0.230627,0.004899
0.987288,0.228782,0.00517
0.987288,0.226937,0.005358
0.987288,0.225092,0.007215
0.987288,0.221402,0.008777
0.987288,0.219557,0.008786
0.987288,0.217712,0.008963
0.987288,0.215867,0.01004
0.987288,0.212177,0.012261
0.987288,0.210332,0.016433
0.986229,0.210332,0.017797
0.985169,0.210332,0.020397
0.985169,0.208487,0.02158
0.985169,0.206642,0.023164
0.985169,0.204797,0.02386
0.985169,0.201107,0.029178
0.985169,0.199262,0.030941
0.983051,0.199262,0.036946
0.983051,0.195572,0.038079
0.983051,0.193727,0.043609
